"No.","Time","Source","Destination","Protocol","Length","Differentiated Services Field","Info"
"148","49.573896960","10.10.10.1","10.10.10.3","TCP","54","0x7c","53863  >  2222 [SYN] Seq=0 Win=1480 Len=0"
"151","50.638511652","10.10.10.1","10.10.10.3","TCP","197","0x78","40343  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"154","51.695568516","10.10.10.1","10.10.10.3","TCP","197","0x29","26415  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"157","52.746121652","10.10.10.1","10.10.10.3","TCP","197","0x71","43926  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"162","53.811576080","10.10.10.1","10.10.10.3","TCP","197","0x7b","35882  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"165","54.874364581","10.10.10.1","10.10.10.3","TCP","68","0x2e","22843  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"168","55.930566032","10.10.10.1","10.10.10.3","TCP","89","0x7f","17312  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"171","56.992788286","10.10.10.1","10.10.10.3","TCP","153","0x22","45909  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"174","58.050144566","10.10.10.1","10.10.10.3","TCP","150","0x28","65509  >  2222 [SYN] Seq=0 Win=1480 Len=96"
"177","59.095843150","10.10.10.1","10.10.10.3","TCP","68","0x7f","48188  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"180","60.147146036","10.10.10.1","10.10.10.3","TCP","83","0x77","22030  >  2222 [SYN] Seq=0 Win=1480 Len=29"
"183","61.199119503","10.10.10.1","10.10.10.3","TCP","531","0x72","7194  >  2222 [SYN] Seq=0 Win=1480 Len=477"
"186","62.252940008","10.10.10.1","10.10.10.3","TCP","89","0x2a","23695  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"189","63.309103078","10.10.10.1","10.10.10.3","TCP","68","0x7b","46414  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"192","64.360150892","10.10.10.1","10.10.10.3","TCP","89","0x7a","38312  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"195","65.410420408","10.10.10.1","10.10.10.3","TCP","153","0x27","50264  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"198","66.473599472","10.10.10.1","10.10.10.3","TCP","153","0x7a","12621  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"201","67.530256375","10.10.10.1","10.10.10.3","TCP","153","0x78","19882  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"204","68.575145734","10.10.10.1","10.10.10.3","TCP","153","0x34","3154  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"207","69.617452599","10.10.10.1","10.10.10.3","TCP","197","0x00","52054  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"210","70.661362523","10.10.10.1","10.10.10.3","TCP","197","0x18","29883  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"213","71.725698238","10.10.10.1","10.10.10.3","TCP","153","0x0f","15040  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"216","72.780878441","10.10.10.1","10.10.10.3","TCP","153","0x0a","46088  >  2222 [SYN] Seq=0 Win=1480 Len=99"
